K00285	6
K03404	8
K07741	3
K13278	21
K21524	3
K12673	4
K06041	6
K01192	19
K00766	1
K20509	6
K21572	10
K00820	6
K22780	5
K03215	10
K24593	1
K12951	2
K18889	2
K03695	4
K01077	1
K12924	11
K12714	4
K05574	1
K09125	5
K12720	1
K07216	1
K00826	4
K10820	5
K21202	2
K13566	1
K03469	4
K03116	5
K11720	4
K22160	1
K22202	1
K08175	10
K13059	12
K11383	1
K03086	21
K14338	1
K16785	7
K02035	1
K21656	1
K00186	4
K13560	2
K05685	7
K03110	5
K22166	3
K01972	12
K03147	13
K01951	5
K01866	4
K19107	8
K21984	1
K00024	3
K07085	16
K02584	1
K12035	5
K16326	16
K01714	8
K01009	18
K02371	6
K22230	3
K13509	3
K21526	1
K03365	7
K24018	5
K01586	9
K19438	1
K07798	37
K18344	9
K12628	1
K02835	4
K12257	50
K10742	5
K00341	2
K12371	8
K21520	3
K20508	4
K07107	9
K01580	4
K07405	13
K09565	6
K19115	5
K17999	1
K00824	3
K16412	1
K00600	6
K23010	6
K01914	4
K08303	7
K02066	3
K07125	7
K10026	10
K07462	7
K16264	1
K01681	1
K22092	1
K19247	2
K00606	3
K18011	2
K12450	5
K03564	14
K07071	7
K18303	25
K15955	1
K11751	19
K23186	10
K07052	7
K18119	4
K09251	1
K15896	4
K04771	32
K01727	1
K09861	19
K14507	1
K19788	6
K01744	6
K21228	24
K01940	8
K05992	22
K10038	3
K19244	17
K11938	1
K14983	42
K10046	5
K07447	4
K07095	29
K01874	14
K03522	19
K12705	2
K22167	2
K19322	3
K03574	37
K15858	1
K01867	5
K19239	11
K01938	11
K20570	1
K13683	14
K00970	8
K18324	6
K00767	6
K13318	1
K07238	5
K10844	2
K16089	79
K01182	7
K08682	6
K00615	8
K07240	9
K17686	5
K15097	2
K18682	2
K22787	1
K07789	9
K21300	3
K03685	5
K14952	18
K01870	12
K02067	7
K19312	2
K01812	1
K01256	13
K14260	2
K19697	2
K01939	4
K24915	1
K01665	1
K11717	10
K11962	20
K01649	6
K01876	6
K02441	8
K06409	139
K21218	27
K05349	31
K00027	2
K21229	1
K21505	2
K06889	183
K22436	7
K03319	1
K00350	4
K16442	1
K03328	1
K01596	1
K00840	3
K12634	3
K07788	5
K22345	1
K13652	1
K03103	1
K03671	145
K13319	8
K07239	2
K06173	5
K05577	3
K13953	4
K06442	2
K20831	1
K11153	2
K22273	1
K14191	3
K09132	1
K23748	1
K03687	1
K00259	6
K22785	1
K21041	2
K03272	5
K05581	2
K21208	1
K00948	3
K07213	15
K03696	7
K16202	1
K03224	8
K02863	3
K00638	7
K03216	12
K03502	3
K18332	5
K12915	2
K21134	2
K18218	1
K12913	5
K01552	1
K03799	4
K24441	1
K19577	1
K17992	1
K14082	1
K03438	9
K19279	1
K24250	5
K13549	3
K22578	1
K09859	13
K07560	10
K19886	1
K01834	4
K24289	2
K03113	3
K24256	3
K00013	19
K07566	7
K08176	1
K18430	7
K01676	5
K07443	14
K07059	15
K07391	9
K00639	7
K13941	7
K05573	12
K05575	1
K06133	10
K14122	6
K01034	2
K03631	11
K03798	1
K02622	9
K11907	5
K11065	4
K03403	50
K03885	14
K22351	1
K19443	1
K24012	8
K02836	4
K03941	4
K15573	2
K19566	1
K00748	4
K07509	1
K02358	3
K13694	11
K20741	1
K21525	2
K13798	4
K03405	15
K19147	2
K01358	3
K06001	16
K03548	10
K02453	3
K19858	16
K18122	13
K03427	27
K08300	1
K21372	2
K05989	32
K12063	45
K06959	16
K01848	7
K03308	14
K07058	2
K01923	3
K04368	5
K00605	1
K02455	5
K19336	1
K05367	14
K15721	15
K11358	28
K12585	1
K20534	2
K20591	12
