K03825	26
K12264	3
K17398	6
K23107	12
K02242	8
K15045	3
K00364	10
K01579	5
K12372	34
K16628	2
K06877	38
K07493	1
K19960	1
K23071	2
K16920	26
K06926	4
K16710	10
K06914	23
K09816	12
K14636	14
K07024	32
K01347	1
K07010	52
K06920	24
K14602	7
K20791	8
K03639	49
K18944	36
K15554	9
K17872	2
K19461	5
K18250	1
K21030	23
K16421	3
K20930	34
K18649	17
K07742	7
K22397	1
K14153	12
K05804	57
K03627	26
K02653	20
K18663	1
K05832	3
K08155	1
K05928	13
K05614	9
K00548	28
K06972	27
K09814	4
K02191	10
K00052	24
K01952	23
K21386	2
K04717	1
K16383	5
K03431	18
K14665	3
K07485	2
K02601	4
K01500	20
K21666	1
K05936	8
K19005	12
K03045	20
K03043	19
K06944	1
K20458	16
K23518	4
K03550	9
K06962	7
K22081	1
K23426	1
K07046	1
K01270	22
K03497	18
K13800	3
K05879	1
K01338	5
K21837	1
K02433	23
K12340	15
K02346	33
K18951	1
K02338	15
K18947	11
K21593	28
K03975	22
K00756	18
K08675	1
K04077	10
K20981	3
K00789	5
K06905	3
K03296	27
K00680	19
K06441	1
K00104	24
K03781	20
K12506	20
K11175	20
K04042	2
K07354	2
K07452	1
K05934	14
K21664	47
K00426	15
K06867	17
K24654	2
K01267	15
K19976	1
K09767	4
K16393	5
K00529	25
K01821	1
K21121	5
K12267	12
K05605	5
K01089	22
K07005	32
K08724	23
K00989	19
K20973	3
K13919	4
K16703	4
K00374	7
K03231	3
K21037	2
K21075	21
K18914	14
K00239	1
K22390	17
K00992	1
K18969	6
K02621	21
K05553	2
K16199	9
K02313	22
K02784	4
K04075	16
K00336	52
K08282	2
K03977	42
K21586	3
K06199	13
K13283	13
K18945	1
K01473	23
K01142	10
K03826	2
K07791	10
K02133	5
K01997	10
K03495	28
K21299	62
K22586	1
K09949	13
K09815	7
K18121	5
K22450	26
K06925	16
K04768	20
K07496	2
K08188	6
K00566	7
K03072	5
K00124	5
K16002	1
K07487	2
K20592	1
K00147	16
K16707	54
K16201	6
K20977	13
K03816	16
K09013	95
K03742	22
K09015	12
K09807	10
K01524	41
K22947	2
K04561	12
K18660	19
K07258	17
K21454	14
K20283	3
K11202	16
K03501	25
K22972	1
K01689	9
K07023	12
K23059	15
K08189	14
K09765	1
K08081	13
K07025	38
K02551	26
K07171	2
K21675	5
K05838	2
K09823	20
K18608	5
K09775	7
K19353	13
K07459	29
K12082	4
K01996	16
K18802	1
K03040	4
K18482	18
K24102	1
K03553	5
K13038	19
K09773	9
K19737	1
K22590	1
K07497	12
K17550	2
K09729	8
K12527	17
K24266	1
K13040	2
K15024	3
K03293	9
K21074	1
K16150	11
K18292	7
K21499	29
K03839	48
K02990	1
K01448	13
K00245	1
K03321	39
K02229	29
K03615	1
K03976	14
K01436	27
K22927	17
K21903	24
K00243	11
K02996	3
K14979	1
K12055	12
K11787	21
K06282	9
K15357	13
K20038	3
K01699	4
K02434	18
K21636	13
K17068	1
K05847	7
K21221	1
K15777	20
K02517	11
K05810	23
K10206	7
K00200	12
K00425	11
K13039	1
K12538	1
K07588	13
K19004	1
K01657	23
K19589	4
K08384	1
K06609	30
K06904	13
K19459	9
K13922	7
K17231	62
K04034	175
K23685	17
K03311	15
K22946	1
K00782	15
K21594	4
K00652	17
K05606	6
K20678	14
K21498	11
K02994	1
K20573	1
K03169	25
K21222	10
K00806	8
K22056	1
K04654	21
K16787	3
K07138	2
K03093	11
K12904	3
K07478	44
K07574	4
